"date_number","product_id","category_id","position"
71,65968023,2312968,6
71,70320877,2312968,24
71,70700940,2312968,22
71,76636979,2312968,1
71,83181798,2312968,0
71,228948776,2312968,8
71,259454527,2312968,13
71,292056423,2312968,2
71,317845184,2312968,18
71,355002422,2312968,23
71,367621264,2312968,15
71,518048596,2312968,4
71,536314071,2312968,9
71,569349925,2312968,16
71,641492799,2312968,11
71,655539671,2312968,10
71,677689532,2312968,12
71,756107606,2312968,21
71,791101281,2312968,17
71,797687514,2312968,20
71,923361796,2312968,7
71,946698393,2312968,14
71,951360289,2312968,19
71,959246596,2312968,5
71,67971763,3043813,28
71,76521638,3043813,33
71,108926957,3043813,29
71,162599465,3043813,32
71,168198358,3043813,25
71,232574267,3043813,2
71,433744935,3043813,9
71,472697538,3043813,14
71,473417701,3043813,27
71,479121751,3043813,11
71,543221908,3043813,24
71,672409343,3043813,19
71,696656939,3043813,4
71,709871554,3043813,6
71,734246916,3043813,16
71,734316534,3043813,5
71,743931143,3043813,10
71,797435486,3043813,20
71,830984307,3043813,15
71,835493558,3043813,8
71,848520125,3043813,31
71,873608477,3043813,1
71,896323519,3043813,17
71,916308511,3043813,12
71,940252565,3043813,22
71,958719444,3043813,23
71,988864599,3043813,13
71,990820524,3043813,21
71,4450020,4461548,44
71,42147334,4461548,13
71,71314537,4461548,24
71,81131830,4461548,18
71,84035833,4461548,41
71,125252584,4461548,42
71,129107840,4461548,29
71,136663516,4461548,8
71,159687470,4461548,53
71,218302531,4461548,37
71,223500939,4461548,6
71,232277425,4461548,3
71,247094587,4461548,30
71,255708918,4461548,35
71,297990734,4461548,40
71,316583204,4461548,25
71,373762118,4461548,11
71,381325521,4461548,50
71,389417806,4461548,43
71,393361151,4461548,12
71,412208127,4461548,21
71,429741633,4461548,46
71,435094262,4461548,1
71,441422087,4461548,34
71,454773251,4461548,27
71,466362810,4461548,23
71,468136315,4461548,20
71,692308397,4461548,10
71,692640766,4461548,32
71,778306011,4461548,28
71,788476543,4461548,5
71,796614885,4461548,14
71,806662549,4461548,16
71,814546628,4461548,17
71,839646637,4461548,49
71,860991272,4461548,19
71,870302267,4461548,26
71,883388474,4461548,9
71,884159006,4461548,54
71,896646847,4461548,47
71,913170688,4461548,48
71,940884023,4461548,31
71,951368007,4461548,51
71,981567875,4461548,2
71,3436714,4895637,56
71,29437020,4895637,62
71,91780909,4895637,74
71,219674025,4895637,61
71,267621958,4895637,57
71,359644749,4895637,54
71,439987696,4895637,70
71,507817610,4895637,58
71,519493727,4895637,60
71,539588429,4895637,65
71,547607605,4895637,69
71,604894198,4895637,76
71,645213567,4895637,59
71,657895822,4895637,67
71,684440044,4895637,72
71,690454990,4895637,75
71,695648851,4895637,77
71,703644799,4895637,68
71,759826730,4895637,71
71,819133507,4895637,64
71,893741679,4895637,66
71,922074626,4895637,73
71,22825900,6649227,88
71,36907150,6649227,71
71,40620502,6649227,34
71,42622041,6649227,55
71,49169106,6649227,86
71,51813542,6649227,47
71,76144102,6649227,125
71,77083524,6649227,120
71,79481574,6649227,13
71,102745042,6649227,80
71,119337780,6649227,73
71,126645550,6649227,112
71,140524658,6649227,115
71,161184925,6649227,5
71,203275330,6649227,36
71,208670368,6649227,81
71,213515522,6649227,127
71,227194444,6649227,116
71,239082308,6649227,69
71,241640558,6649227,44
71,244813665,6649227,24
71,282911686,6649227,82
71,290233154,6649227,28
71,301905179,6649227,31
71,306123591,6649227,124
71,329825731,6649227,57
71,334329318,6649227,102
71,346082303,6649227,87
71,350533755,6649227,128
71,365625468,6649227,8
71,378238764,6649227,113
71,380819835,6649227,99
71,385803767,6649227,118
71,397403034,6649227,45
71,402224722,6649227,32
71,415245225,6649227,89
71,415259448,6649227,60
71,416633112,6649227,40
71,423798825,6649227,123
71,433303775,6649227,16
71,443230586,6649227,62
71,445266486,6649227,7
71,447796024,6649227,74
71,478211003,6649227,110
71,479417527,6649227,29
71,481727612,6649227,43
71,485610601,6649227,39
71,487123534,6649227,6
71,489535696,6649227,108
71,493790397,6649227,92
71,493994269,6649227,72
71,495152578,6649227,98
71,501949017,6649227,77
71,503147977,6649227,41
71,553708098,6649227,83
71,563196951,6649227,17
71,566009327,6649227,100
71,568132629,6649227,76
71,581775123,6649227,48
71,585100563,6649227,94
71,592767583,6649227,119
71,596915043,6649227,96
71,597087197,6649227,70
71,610254659,6649227,97
71,612771236,6649227,117
71,617304161,6649227,122
71,617699225,6649227,20
71,630548398,6649227,23
71,633333204,6649227,46
71,634542718,6649227,58
71,636549822,6649227,33
71,640031149,6649227,37
71,656438604,6649227,85
71,659319660,6649227,101
71,661880746,6649227,14
71,667368059,6649227,93
71,667504892,6649227,63
71,672368193,6649227,11
71,683064138,6649227,91
71,691439717,6649227,107
71,704036788,6649227,25
71,709646600,6649227,4
71,718377525,6649227,2
71,718600119,6649227,1
71,719125787,6649227,78
71,730431316,6649227,22
71,754833082,6649227,18
71,763608616,6649227,3
71,765068701,6649227,75
71,785112694,6649227,67
71,786912196,6649227,15
71,790041231,6649227,90
71,799962148,6649227,59
71,804421242,6649227,51
71,819465801,6649227,21
71,836028310,6649227,61
71,846104667,6649227,19
71,846215639,6649227,126
71,849726446,6649227,38
71,888460157,6649227,68
71,888863879,6649227,10
71,909318048,6649227,79
71,910917930,6649227,114
71,919310412,6649227,53
71,931356648,6649227,52
71,938735918,6649227,66
71,962367367,6649227,49
71,964298573,6649227,12
71,968771263,6649227,50
71,999772605,6649227,9
71,23602122,10673206,43
71,65436382,10673206,23
71,90480126,10673206,3
71,90930536,10673206,40
71,231467668,10673206,32
71,231472688,10673206,27
71,231643568,10673206,16
71,239082308,10673206,41
71,280026714,10673206,29
71,289432269,10673206,20
71,300050149,10673206,22
71,330761301,10673206,25
71,346938692,10673206,2
71,352344206,10673206,6
71,353089381,10673206,5
71,466297198,10673206,9
71,469892379,10673206,1
71,518835315,10673206,21
71,546748067,10673206,19
71,549398519,10673206,10
71,579774113,10673206,39
71,694871436,10673206,18
71,695529989,10673206,15
71,698016513,10673206,4
71,700224327,10673206,33
71,723781310,10673206,8
71,733440421,10673206,30
71,747631318,10673206,35
71,769156836,10673206,7
71,780609760,10673206,37
71,795864959,10673206,17
71,900364705,10673206,13
71,966200723,10673206,36
71,66155737,14854906,1
71,173477622,14854906,3
71,638034660,14854906,7
71,640349494,14854906,6
71,673045236,14854906,4
71,821774041,14854906,10
71,912657055,14854906,8
71,931526495,14854906,2
71,571044,17470795,154
71,1961026,17470795,153
71,8198313,17470795,2
71,12211891,17470795,414
71,12364047,17470795,81
71,15039308,17470795,446
71,17881929,17470795,137
71,24508026,17470795,238
71,27919424,17470795,188
71,28287001,17470795,8
71,30972339,17470795,399
71,31226778,17470795,82
71,39850817,17470795,336
71,45882287,17470795,372
71,47364594,17470795,367
71,55105454,17470795,72
71,55365407,17470795,7
71,58057245,17470795,258
71,65221435,17470795,6
71,65691914,17470795,177
71,66840103,17470795,466
71,73091092,17470795,461
71,73474899,17470795,87
71,74301286,17470795,132
71,76726076,17470795,430
71,79481574,17470795,316
71,84688228,17470795,124
71,85378419,17470795,69
71,95498219,17470795,19
71,100552747,17470795,139
71,106012272,17470795,357
71,107128461,17470795,11
71,111731241,17470795,212
71,119871896,17470795,180
71,120199507,17470795,44
71,122361345,17470795,91
71,124871824,17470795,269
71,125618517,17470795,429
71,131661139,17470795,150
71,136452817,17470795,9
71,141899318,17470795,53
71,144736931,17470795,397
71,150341753,17470795,196
71,156705790,17470795,348
71,159381458,17470795,271
71,159558542,17470795,270
71,161184925,17470795,311
71,166344179,17470795,79
71,166948292,17470795,75
71,173258781,17470795,347
71,173860885,17470795,236
71,180855907,17470795,68
71,181216716,17470795,204
71,188690669,17470795,504
71,199876826,17470795,244
71,200266379,17470795,24
71,202168857,17470795,126
71,208670368,17470795,307
71,216059096,17470795,411
71,226270183,17470795,117
71,227869153,17470795,208
71,229056515,17470795,100
71,231002007,17470795,450
71,235283201,17470795,108
71,240581514,17470795,392
71,243614491,17470795,200
71,244269814,17470795,62
71,244835030,17470795,70
71,248493376,17470795,383
71,252077219,17470795,437
71,253074380,17470795,420
71,266127597,17470795,335
71,266386433,17470795,340
71,267237079,17470795,227
71,273158638,17470795,370
71,275050488,17470795,280
71,275779410,17470795,147
71,283364014,17470795,301
71,284250216,17470795,43
71,290233154,17470795,314
71,291956439,17470795,489
71,293358559,17470795,112
71,298617277,17470795,20
71,299821876,17470795,255
71,306047272,17470795,453
71,312183060,17470795,63
71,312454247,17470795,364
71,313321955,17470795,13
71,314491515,17470795,190
71,320489879,17470795,254
71,328912525,17470795,462
71,331625187,17470795,483
71,332102554,17470795,225
71,334329318,17470795,294
71,345906445,17470795,54
71,348073785,17470795,350
71,348997271,17470795,115
71,349573241,17470795,305
71,350520101,17470795,148
71,352318490,17470795,213
71,352716841,17470795,267
71,356388162,17470795,98
71,358687832,17470795,360
71,363508168,17470795,445
71,364541801,17470795,184
71,365994587,17470795,136
71,369448679,17470795,222
71,371670899,17470795,427
71,376346622,17470795,14
71,378585385,17470795,366
71,386300147,17470795,281
71,389961001,17470795,65
71,391354296,17470795,252
71,392791886,17470795,32
71,393345616,17470795,195
71,394846310,17470795,415
71,398480116,17470795,422
71,400854387,17470795,396
