"product_id","block_id"
612967398,0
296892108,0
139541214,0
963923934,0
938230141,0
172045154,0
663552768,0
160621689,1
948976891,1
556017319,1
74789227,1
374080067,1
7231503,1
140310401,1
280710042,2
988057944,2
45792412,2
933729555,2
331677783,2
417973660,2
834224642,2
377393465,3
781416588,3
18760595,3
182354905,3
82942407,3
295810649,3
2094841,4
149603152,4
149005467,4
65221435,4
229014703,4
268164838,4
575951000,4
436759696,4
286534254,4
61125771,4
936775317,5
157071528,5
684677700,5
82102907,5
197018475,5
100961661,6
639795905,6
918076723,6
941694568,6
422850335,6
146269706,6
448732445,6
458289002,6
936231388,7
105501695,8
780324216,9
181293849,9
464218482,9
77320489,9
430031776,9
877785639,9
249931679,10
384789732,10
236655264,10
46896132,10
273870927,10
90370542,10
124584045,10
269188505,10
528721616,10
278409518,11
827923858,11
107590208,11
877319871,11
297597721,11
675334045,11
769338596,11
335430870,11
703309215,12
805151916,12
602812729,12
289555358,12
668187087,12
984815182,12
342789654,12
371251867,13
483943656,13
354839468,14
410002941,14
353089381,14
158766395,14
689997192,15
646221974,15
657330183,15
577527202,16
94376812,16
942450874,16
718237591,16
684602644,16
182359172,16
990395853,17
127221601,17
133301745,17
4896685,17
71179433,17
721302995,17
150739943,17
391834597,18
816392997,18
988864599,18
4994954,18
620600143,18
920751309,19
350380098,19
641253786,19
148163839,19
183285427,19
721576050,19
798926995,19
213312924,19
937996034,19
680626987,20
268741941,20
761259702,20
162286520,20
643236509,20
640651551,21
605597006,21
772329315,21
788052806,21
313880922,21
587806269,21
259380207,21
229995577,21
906962304,21
38527509,21
205296016,22
328327992,22
568192624,22
563423462,22
342341132,22
227018347,22
70251464,22
759850585,22
368324594,22
866408631,23
542946504,23
393930364,23
956765947,23
849696608,23
701989325,23
363289782,23
706861109,23
596626668,23
541466800,24
400282918,24
521674805,24
981634824,24
720721725,24
605776637,24
46866654,24
635041736,24
921494803,25
69913576,25
422485453,25
176246116,25
519508429,25
259454527,25
81827483,25
164707360,25
982235645,26
592269026,26
235674436,26
921959211,26
443230586,27
403223639,27
271880649,27
746747108,27
932000868,27
101966259,27
61392912,27
986261895,27
845008485,28
848801117,28
496531426,28
874046974,28
338084086,28
394811821,28
111211299,28
289529941,28
208842216,29
707383068,29
445266486,29
562260875,30
906436133,30
1908353,30
243274712,30
54124457,30
744432266,31
873608477,32
486360234,32
604877484,32
606523169,32
134427582,32
338193149,32
577072862,32
488170703,33
602703808,34
48569377,34
435964609,34
179398839,34
742744869,34
710433791,34
690533981,34
588910092,34
893899978,34
712610017,35
409344581,35
547857859,35
240581514,35
970787885,35
707868072,35
132728547,35
700559058,35
56125069,36
102320057,36
136452817,36
68310960,36
744110567,36
368742258,36
689608186,36
503713820,36
598444386,36
241826003,37
327258463,37
578172925,38
598717484,38
193091417,38
935716158,38
497836040,38
557056712,39
217406869,39
278075588,39
237401945,39
758314202,39
925345127,39
522026879,39
586376859,39
474091168,40
308826989,41
66155737,41
808774936,41
848295175,41
219214690,41
967052617,42
896607121,42
337687492,42
752143477,42
455311079,42
97162358,42
310330247,43
265197057,43
36469950,43
337446925,43
960711823,43
397391660,43
568118631,43
473903024,43
157063690,43
448412489,44
111072237,44
479640106,44
691125037,44
186984237,44
309019879,45
768363057,45
368377591,45
560940053,46
707429273,46
385415362,46
522506841,46
560695487,46
702966923,47
32487273,47
569897645,47
95253117,47
724473251,48
790223829,48
348059131,48
418928627,48
722290087,48
774761358,48
866368074,48
403760506,48
618156159,49
84166641,49
531155716,49
13689307,49
544081646,50
897808056,50
127322009,50
987017182,50
478659220,50
95273286,50
721437659,50
449936008,50
825231037,50
647691139,50
411767636,51
641492799,52
444638604,52
968812183,52
791314721,52
51406282,52
462722661,53
569444974,53
637879068,53
226893107,53
385445693,53
