"product_id","family_id","subfamily_id","price"
151926,396066037,335531561,25.95
213413,552529755,11509337,19.95
310130,679611953,533441312,12.95
373883,775013441,62518413,17.95
455200,998145072,490222156,29.95
495255,396066037,520569701,29.95
571044,831347344,750943270,15.95
588965,759754297,153391282,5.95
651721,998145072,868593892,25.95
658552,396066037,335531561,25.95
671985,396066037,520569701,29.95
726152,719495497,469187498,17.95
745027,744793598,791993714,25.95
759150,396227224,537938497,17.95
836635,732697347,23009995,39.95
928389,396066037,520569701,29.95
940502,626512766,624322398,19.95
986042,396066037,943122287,19.95
990094,953774311,313189867,29.95
1042445,953774311,752499392,49.99
1074044,768025921,514970957,12.95
1138148,552529755,746679041,29.95
1178388,732697347,691762817,49.95
1254374,744793598,791993714,22.95
1299017,115256955,576342853,6.95
1332649,572692328,46983949,7.95
1561460,396066037,520569701,29.95
1723122,744793598,791993714,29.95
1751149,512899033,786313253,25.95
1874414,744793598,811402796,25.95
1889518,573943191,17123493,25.95
1908353,744793598,811402796,29.95
1937902,576495900,460648978,19.95
1959539,759754297,395002630,9.95
1961026,831347344,750943270,12.95
1985586,396066037,520569701,29.95
1999422,396066037,756330372,25.95
2094841,396066037,884647976,15.99
2098724,744793598,791993714,25.95
2182843,366609714,448711417,15.95
2295327,759754297,153391282,9.95
2326360,759754297,395002630,7.95
2338867,626512766,448301905,29.95
2436420,768025921,665805124,25.95
2553833,396066037,756330372,17.95
2637932,429269907,778576411,79.95
2644529,831347344,373740397,7.95
2712662,552529755,409435434,29.95
2994652,862235564,729868094,39.95
2998947,732697347,241650392,59.95
3093333,511255811,194174548,35.95
3129413,953774311,486307114,39.99
3176725,396066037,335531561,29.95
3408815,396066037,335531561,25.95
3436714,396066037,469187498,15.99
3504863,396066037,520569701,15.99
3600293,396227224,537938497,7.95
3725321,953774311,313189867,69.95
3765604,662365637,624322398,15.95
3817767,744793598,791993714,25.95
3949949,744793598,852999830,29.95
4005152,297884462,514895652,29.95
4031918,396066037,469187498,17.95
4097182,775013441,135521550,49.95
4129515,744793598,469187498,12.95
4203720,732697347,145083951,79.95
4315642,744793598,511693931,17.95
4402460,876835169,911123316,14.97
4428275,396066037,520569701,39.95
4450020,511255811,731664934,12.95
4500239,768025921,665805124,39.95
4628448,732697347,812594621,59.95
4711034,732697347,812594621,29.95
4737467,775013441,568571643,5.95
4771003,115256955,576342853,15.95
4805804,297884462,514970957,22.95
4861070,512899033,786313253,39.95
4896685,819596211,650597913,7.95
4994954,744793598,325094680,39.95
5052743,679611953,628344967,19.95
5118965,831347344,417100840,17.95
5184301,775013441,568571643,9.95
5239084,297884462,210828189,25.95
5295233,759754297,395002630,3.95
5342564,429269907,872133373,29.95
5551656,214205621,700191556,17.95
5566974,775013441,990764455,29.95
5586162,831347344,417100840,17.95
5698558,26874355,594769551,9.95
5720225,396066037,235543872,19.95
5782842,719495497,868529384,29.95
5785505,719495497,914548808,25.95
6069375,744793598,325094680,29.95
6092033,744793598,72422764,29.95
6198698,396066037,756330372,22.95
6339011,998145072,309388913,59.95
6424825,775013441,574151410,10.95
6429323,396066037,943122287,25.95
6447607,552529755,155170634,17.95
6454513,732697347,489389110,99.95
6617225,719495497,812594621,29.95
6692207,891813315,811402796,19.95
6748469,512899033,786313253,29.95
6845399,511255811,224621731,19.95
6850949,396066037,335531561,25.95
6854882,775013441,990764455,39.95
6919224,732697347,241650392,49.95
6928489,366609714,943122287,19.95
6943228,953774311,874560389,129
7220082,626512766,624322398,19.95
7231503,463983107,46983949,15.95
7303890,215064285,961928573,59.95
7339133,831347344,552021054,3.95
7384755,389727574,861892660,4.95
7413997,744793598,526382298,15.95
7674463,775013441,696475327,4.95
7753815,998145072,868593892,59.95
7775898,953774311,241650392,89.95
7944101,396066037,756330372,22.95
7985500,626512766,624322398,19.95
8062596,831347344,232641324,9.95
8094827,396066037,335531561,29.95
8198313,831347344,750943270,19.95
8232132,775013441,772865248,5.95
8352975,768025921,346631767,19.95
8362000,953774311,921963607,69.95
8422011,396066037,538610752,25.95
8505378,366609714,967298242,29.95
8733530,396066037,469187498,14.97
8872039,635887240,490222156,49.95
8909970,831347344,373740397,9.95
8915373,396066037,469187498,29.95
8932313,396066037,335531561,19.95
8942192,831347344,848420261,12.95
8996452,88413967,999192356,29.95
9065685,396066037,335531561,22.95
9436424,626512766,624322398,19.95
9440517,396066037,739564025,17.95
9460603,732697347,313189867,79.95
9486965,572692328,574151410,15.95
9593020,396066037,520569701,15.99
9596420,249054090,369705682,12.95
9629125,744793598,811402796,29.95
9686769,396066037,520569701,29.95
9692804,732697347,514970957,29.95
9797547,732697347,691762817,39.95
9912471,744793598,410257324,14.97
10012934,396066037,335531561,22.95
10062936,775013441,990764455,35.95
10222890,768025921,514970957,15.95
10225694,297884462,770790628,22.95
10260184,842660327,41966660,12.95
10319278,150072777,57899040,3.95
10321946,831347344,373740397,3.95
10342469,831347344,417100840,17.95
10376927,626512766,624322398,19.95
10417235,297884462,514895652,39.95
10481098,552529755,82308645,19.95
10489118,744793598,980355312,19.95
10588764,115256955,576342853,7.95
10623040,396066037,756330372,19.95
10650550,831347344,417100840,17.95
10668431,998145072,400757924,17.95
10734126,775013441,478492088,39.95
10837940,775013441,990764455,35.95
10853187,396066037,335531561,25.95
10999457,775013441,478492088,19.95
11054403,977612525,321819820,25.95
11131622,26874355,26275515,9.95
11143660,396066037,756330372,22.95
11279032,396227224,174967415,12.95
11324898,831347344,480153566,9.95
11359393,744793598,791993714,25.95
11405197,396066037,739564025,15.95
11412865,679611953,628344967,22.95
11415462,831347344,552021054,9.95
11450160,396066037,335531561,25.95
11473371,396066037,52303638,19.95
11504751,297884462,514970957,19.95
11648335,744793598,785418455,29.95
11682578,719495497,667141261,59.95
11726398,511255811,555372620,25.95
11902280,744793598,325094680,39.95
12024648,775013441,383177575,25.95
12140036,297884462,904032603,22.95
12211891,721182410,731664934,17.95
12244614,732697347,488276225,39.95
12332171,396066037,335531561,19.95
